StartTransactionID,EndTransactionID
1298889,1299240
1195766,1196215
1091706,1092092
1263650,1263717
1458417,1458663
1384658,1384946
1031905,1032089
1339158,1339538
1375426,1375579
1045219,1045352
1156365,1156763
1261794,1262282
1406254,1406371
1252118,1252600
1052712,1053020
1105603,1105892
1239580,1239771
1403272,1403764
1421260,1421506
1077970,1078225
1207343,1207352
1375494,1375606
1370373,1370822
1089797,1090001
1337740,1337840
1091026,1091145
1063687,1064155
1478517,1478881
1239668,1239872
1389016,1389287
1212117,1212165
1015575,1015603
1333576,1333736
1002042,1002255
1467975,1468265
1226554,1226754
1487899,1488112
1048016,1048024
1256860,1257197
1292593,1292796
1404770,1404974
1424980,1425313
1267332,1267678
1096171,1096254
1145158,1145261
1211714,1212160
1035167,1035265
1238822,1238833
1011797,1012079
1429140,1429257
1093999,1094387
1356970,1357372
1283240,1283491
1019307,1019679
1396494,1396580
1248368,1248655
1455835,1455995
1063524,1063527
1347817,1348019
1459260,1459437
1129105,1129337
1307332,1307355
1482481,1482663
1487805,1488179
1202070,1202282
1038343,1038462
1339853,1339978
1068172,1068570
1402460,1402902
1346184,1346343
1234422,1234596
1468192,1468298
1123611,1123808
1055986,1056069
1053177,1053499
1401739,1401870
1238555,1238929
1358148,1358282
1420416,1420840
1318103,1318493
1466085,1466379
1366466,1366794
1307577,1307959
1110858,1111125
1302058,1302348
1074989,1075023
1105132,1105386
1295246,1295581
1344746,1345159
1072547,1072830
1221337,1221508
1256897,1257269
1132373,1132647
1352988,1353290
1480655,1480690
1211686,1212095
1405049,1405314
1206057,1206469
1128942,1129063
1419829,1419885
1077350,1077482
1218468,1218725
1412717,1412779
1088990,1089192
1195092,1195519
1055554,1055889
1039212,1039549
1410302,1410337
1134959,1135446
1273019,1273503
1329567,1329911
1170996,1171449
1420618,1420878
1477609,1477732
1311180,1311183
1290429,1290744
1149807,1150155
1254393,1254824
1423481,1423823
1162828,1162896
1182509,1182825
1391439,1391480
1077463,1077551
1439846,1440024
1359942,1360048
1333089,1333153
1153147,1153431
1269334,1269543
1450364,1450723
1038280,1038596
1274053,1274253
1182646,1183093
1131115,1131375
1183194,1183559
1349787,1349836
1221123,1221174
1191637,1191684
1453150,1453596
1463649,1464081
1058152,1058393
1018052,1018053
1430963,1431096
1081100,1081541
1011224,1011329
1256623,1257058
1425293,1425308
1291302,1291746
1374135,1374572
1277321,1277331
1235721,1236103
1315548,1315561
1411561,1412054
1156536,1156577
1324924,1325409
1302443,1302764
1142582,1142836
1056271,1056750
1351424,1351912
1296134,1296446
1248630,1248995
1453679,1453882
1403681,1404175
1359157,1359507
1442013,1442128
1022429,1022895
1313017,1313153
1315563,1315936
1313172,1313541
1214054,1214267
1164868,1164884
1391705,1391768
1306302,1306476
1320413,1320710
1343520,1343648
1314596,1314861
1376787,1377241
1492772,1493128
1447722,1447801
1037902,1038362
1355368,1355595
1134179,1134230
1173282,1173467
1086593,1086977
1338596,1339007
1088563,1088578
1485590,1485734
1227266,1227531
1020365,1020451
1248320,1248538
1355400,1355599
1051382,1051642
1150848,1150850
1449406,1449823
1390070,1390401
1348640,1349025
1398540,1398815
1450767,1450880
1282893,1283006
1005373,1005469
1139195,1139654
1387959,1388159
1172695,1172820
1433946,1434419
1238978,1239119
1047394,1047493
1241062,1241436
1289389,1289558
1278641,1279100
1034777,1034900
1044664,1044869
1449800,1449972
1107564,1108029
1373901,1374314
1450693,1451070
1200532,1201031
1157875,1158188
1467290,1467609
1083062,1083072
1351130,1351479
1384451,1384822
1341561,1341788
1057020,1057100
1237625,1237793
1041686,1041834
1010278,1010487
1190445,1190715
1131626,1131960
1466702,1467090
1037853,1038207
1026070,1026499
1225041,1225279
1017753,1017795
1035408,1035637
1351903,1352195
1012482,1012889
1197682,1197714
1303791,1304089
1065578,1065805
1088421,1088446
1285882,1285911
1161159,1161254
1467891,1468117
1186684,1187016
1056164,1056245
1371995,1372016
1275748,1276081
1238957,1239250
1224769,1225037
1192322,1192815
1049398,1049400
1410369,1410486
1277808,1278072
1052718,1053107
1061442,1061798
1397010,1397505
1343399,1343825
1038845,1038971
1067677,1067893
1107645,1107885
1353871,1354365
1375923,1376140
1298492,1298832
1422215,1422511
1107359,1107832
1351498,1351810
1302904,1303294
1395632,1396048
1161913,1162161
1136372,1136435
1037386,1037500
1399235,1399519
1024843,1024891
1092164,1092257
1360235,1360532
1054511,1054958
1127334,1127726
1114825,1115303
1014249,1014468
1065956,1066147
1002118,1002150
1253609,1253661
1345204,1345697
1286594,1286874
1355188,1355658
1218047,1218467
1472625,1472764
1311648,1312146
1370615,1370960
1339025,1339489
1393638,1394039
1481606,1482067
1244087,1244435
1294790,1294839
1454004,1454305
1288348,1288690
1409228,1409569
1262671,1263015
1357814,1357852
1182384,1182817
1069403,1069487
1210634,1210879
1230544,1230852
1005279,1005653
1182154,1182597
1292862,1293278
1060853,1060900
1073891,1074265
1469960,1470269
1265188,1265297
1301307,1301718
1368754,1369091
1431959,1432327
1360181,1360210
1037999,1038390
1123645,1124012
1010872,1011097
1180548,1180938
1373306,1373786
1263337,1263446
1237186,1237202
1026088,1026341
1230604,1231064
1233970,1234372
1092354,1092789
1127372,1127691
1424132,1424609
1136938,1137214
1012704,1012714
1052293,1052422
1131077,1131102
1485150,1485460
1311056,1311181
1301911,1302261
1456883,1457196
1312545,1312574
1187021,1187411
1456440,1456570
1158160,1158592
1152726,1152899
1454393,1454639
1038242,1038632
1229086,1229108
1209817,1210091
1320938,1321219
1438409,1438425
1052799,1052842
1053562,1053603
1408822,1408974
1113682,1114167
1410491,1410939
1302745,1303196
1407936,1407965
1242512,1242735
1017963,1018441
1062299,1062741
1458996,1459330
1089755,1089897
1174970,1175109
1024951,1025440
1378243,1378726
1265983,1266132
1075558,1075993
1364194,1364612
1070116,1070127
1224497,1224520
1024591,1024811
1160193,1160456
1297403,1297462
1292862,1293062
1483771,1483978
1267802,1268269
1343413,1343505
1014729,1014873
1137786,1137978
1381323,1381474
1160517,1160584
1340856,1341328
1170368,1170718
1230413,1230748
1361292,1361772
1123348,1123669
1160441,1160851
1392138,1392331
1425337,1425714
1455756,1456134
1436852,1437331
1402467,1402601
1122278,1122632
1167429,1167540
1371632,1371929
1214178,1214675
1436753,1437046
1292161,1292419
1083192,1083639
1095508,1095670
1364635,1364880
1236631,1237130
1202872,1202886
1197107,1197523
1098112,1098600
1159752,1160101
1380208,1380521
1388569,1389045
1007748,1007958
1499464,1499728
1352912,1353205
1440827,1441107
1460354,1460611
1262428,1262670
1495566,1495650
1273035,1273532
1374913,1375338
1390425,1390553
1131545,1131664
1457305,1457783
1309174,1309597
1091992,1092171
1251165,1251219
1490417,1490431
1092934,1093305
1310176,1310414
1020316,1020696
1375775,1376261
1422106,1422533
1214355,1214635
1258346,1258432
1384973,1385078
1238557,1238957
1254848,1254904
1134610,1134768
1073808,1073877
1104432,1104590
1302522,1302701
1242362,1242587
1275446,1275852
1480822,1480939
1022231,1022516
1030282,1030382
1350961,1351013
1257187,1257295
1399189,1399486
1370481,1370657
1247830,1248116
1210977,1211039
1322783,1322863
1411530,1411757
1180867,1181230
1166005,1166298
1211392,1211790
1417336,1417424
1496361,1496482
1210858,1211198
1468391,1468849
1112821,1113260
1434914,1435324
1283802,1283936
1407681,1408158
1168058,1168253
1357999,1358251
1120511,1120554
1475242,1475289
1250001,1250226
1304570,1304828
1476483,1476619
1403136,1403634
1203581,1203782
1086273,1086276
1259895,1260168
1073566,1073682
1238718,1239131
1195781,1196068
1126891,1127110
1182333,1182559
1159102,1159225
1128448,1128651
1150796,1150908
1013141,1013154
1022755,1023060
1069350,1069422
1206544,1206651
1163793,1163976
1343723,1344059
1436459,1436891
1046417,1046879
1138382,1138542
1020247,1020395
1157827,1157932
1206158,1206648
1110920,1111250
1064863,1065078
1187072,1187275
1029827,1030186
1038280,1038759
1493541,1493644
1142015,1142322
1108405,1108840
1301802,1301818
1261758,1262024
1424762,1424774
1074080,1074457
1125305,1125558
1091282,1091540
1271935,1272354
1377034,1377269
1484537,1484930
1210475,1210719
1362199,1362511
1237658,1238124
1073756,1074136
1248102,1248176
1364496,1364900
1372054,1372428
1212953,1213318
1251752,1251895
1392135,1392393
1308963,1308980
1047281,1047440
1221638,1222077
1146542,1146778
1170052,1170227
1469466,1469584
1220153,1220523
1363623,1363936
1154603,1154875
1430799,1431108
1457427,1457782
1221958,1222381
1188418,1188844
1195321,1195415
1180679,1180766
1332454,1332918
1334563,1334753
1152100,1152227
1410588,1410617
1122335,1122349
1246116,1246368
1040106,1040115
1095854,1096006
1413857,1414149
1226863,1226920
1047254,1047391
1173438,1173684
1195452,1195768
1068495,1068569
1240250,1240267
1082886,1083287
1204490,1204550
1101568,1101624
1282961,1283401
1412447,1412729
1077511,1077626
1355126,1355582
1160437,1160716
1332185,1332472
1345727,1346198
1006690,1006763
1204849,1205309
1256125,1256175
1121675,1122086
1140923,1141093
1276655,1277078
1232609,1232831
1251047,1251207
1358098,1358341
1297551,1297698
1143271,1143733
1275910,1276102
1308390,1308731
1231938,1232057
1285622,1285921
1348009,1348245
1476264,1476381
1422496,1422871
1163592,1163632
1335994,1336201
1107247,1107330
1420962,1421248
1178089,1178362
1109994,1110200
1111264,1111476
1197212,1197335
1285204,1285483
1445207,1445385
1485259,1485308
1117295,1117569
1141665,1141768
1078123,1078204
1415136,1415507
1360756,1360846
1077157,1077601
1255114,1255444
1170622,1170981
1083586,1083975
1216853,1217280
1064387,1064614
1129547,1129792
1381787,1382008
1108415,1108634
1265338,1265701
1324682,1325057
1429559,1429850
1271226,1271642
1488067,1488294
1014511,1015008
1096439,1096826
1018530,1018975
1242510,1242836
1458190,1458678
1177327,1177492
1267921,1268365
1417969,1418040
1313252,1313260
1149156,1149480
1152423,1152697
1484425,1484609
1014499,1014926
1070838,1070948
1288234,1288584
1221520,1221590
1000501,1000507
1114990,1115214
1306026,1306418
1313947,1314036
1451765,1451790
1486477,1486606
1119214,1119250
1012764,1012951
1074904,1075316
1117123,1117539
1361000,1361469
1050481,1050906
1231838,1231972
1228556,1228888
1458377,1458413
1151708,1151966
1478626,1478900
1071669,1072142
1001861,1001862
1028488,1028665
1441788,1441866
1470316,1470577
1035787,1036249
1331454,1331930
1214166,1214567
1159279,1159521
1078683,1078923
1297168,1297573
1186310,1186756
1393033,1393317
1145321,1145668
1093003,1093294
1215325,1215590
1202109,1202518
1228084,1228331
1080662,1080849
1125739,1126138
1256196,1256478
1445884,1446167
1150284,1150653
1276308,1276707
1297318,1297443
1094410,1094457
1051050,1051120
1307864,1308113
1466285,1466740
